ID,ESG_DISC_SCORE,YEAR
GIGA US Equity,15.28929996,2017
TESS US Equity,13.22309971,2010
TESS US Equity,16.52890015,2019
PMD US Equity,11.15699959,2010
PMD US Equity,15.28929996,2016
DCTH US Equity,11.15699959,2010
DCTH US Equity,16.52890015,2015
ARCW US Equity,11.15699959,2013
ARCW US Equity,16.94210052,2018
ASRV US Equity,11.84210014,2010
ASRV US Equity,10.52630043,2011
ASRV US Equity,12.71930027,2013
ASRV US Equity,14.47369957,2015
ASRV US Equity,15.3508997,2016
MUX US Equity,11.15699959,2010
MUX US Equity,16.52890015,2017
CPSH US Equity,11.15699959,2010
CPSH US Equity,17.76860046,2017
IDRA US Equity,11.15699959,2010
IDRA US Equity,11.98349953,2014
IDRA US Equity,14.8760004,2017
IDRA US Equity,13.63640022,2020
RIG US Equity,23.14049911,2010
RIG US Equity,21.07439995,2011
RIG US Equity,24.38019943,2014
RIG US Equity,32.64459991,2015
RIG US Equity,39.25619888,2016
RIG US Equity,34.29750061,2017
RIG US Equity,38.01649857,2018
RIG US Equity,44.62810135,2019
RIG US Equity,46.69419861,2020
ARCO US Equity,23.44499969,2011
ARCO US Equity,22.00959969,2013
ARCO US Equity,24.8803997,2015
ARCO US Equity,28.22970009,2016
ARCO US Equity,22.48800087,2017
ARCO US Equity,23.92340088,2018
ARCO US Equity,31.10050011,2019
PESI US Equity,11.98349953,2010
PESI US Equity,12.80990028,2013
PESI US Equity,13.63640022,2015
REFR US Equity,12.80990028,2010
REFR US Equity,11.57019997,2020
EZPW US Equity,24.83650017,2012
EZPW US Equity,27.82419968,2013
EZPW US Equity,27.31110001,2015
EZPW US Equity,33.40710068,2016
EZPW US Equity,33.61830139,2017
EZPW US Equity,20.09569931,2019
DXYN US Equity,15.28929996,2010
ASXC US Equity,11.15699959,2010
ASXC US Equity,9.91740036,2013
ASXC US Equity,14.04959965,2017
ASXC US Equity,17.76860046,2020
ROYL US Equity,11.20330048,2010
ROYL US Equity,8.713700294,2014
ROYL US Equity,7.88380003,2015
TELL US Equity,10.7883997,2015
TELL US Equity,14.10789967,2017
TELL US Equity,14.52280045,2018
TELL US Equity,27.80080032,2019
IVC US Equity,9.91740036,2010
IVC US Equity,11.15699959,2011
IVC US Equity,11.98349953,2012
IVC US Equity,16.94210052,2017
LCI US Equity,11.98349953,2010
LCI US Equity,12.80990028,2011
LCI US Equity,14.04959965,2015
LCI US Equity,17.76860046,2020
QSEP US Equity,11.15699959,2010
QSEP US Equity,9.91740036,2013
QSEP US Equity,14.04959965,2017
ACTG US Equity,11.15699959,2010
ACTG US Equity,9.91740036,2012
ACTG US Equity,14.04959965,2017
ACTG US Equity,9.090900421,2018
ACTG US Equity,12.80990028,2019
NNBR US Equity,11.15699959,2010
NNBR US Equity,9.91740036,2011
NNBR US Equity,11.98349953,2015
NNBR US Equity,17.35540009,2016
NNBR US Equity,16.11569977,2018
LYTS US Equity,11.15699959,2011
LYTS US Equity,14.04959965,2018
LYTS US Equity,18.59499931,2019
TK US Equity,31.81819916,2010
TK US Equity,24.79339981,2011
TK US Equity,26.03310013,2012
TK US Equity,29.33880043,2013
TK US Equity,30.57850075,2014
TK US Equity,26.85950089,2015
TK US Equity,28.0991993,2016
TK US Equity,33.88430023,2018
TK US Equity,33.05789948,2019
TK US Equity,35.53720093,2020
VBIV US Equity,7.438000202,2015
VBIV US Equity,17.35540009,2016
VBIV US Equity,16.52890015,2017
CCTC US Equity,7.851200104,2010
CCTC US Equity,10.33059978,2011
CCTC US Equity,13.63640022,2017
CCTC US Equity,14.46280003,2020
SRGA US Equity,11.15699959,2010
SRGA US Equity,12.80990028,2016
SRGA US Equity,17.76860046,2017
WKHS US Equity,9.91740036,2010
WKHS US Equity,8.677700043,2013
WKHS US Equity,9.504099846,2015
WKHS US Equity,11.98349953,2016
VTNR US Equity,9.91740036,2012
VTNR US Equity,11.15699959,2013
VTNR US Equity,16.11569977,2015
VTNR US Equity,16.94210052,2016
GLAE US Equity,12.80990028,2010
GLAE US Equity,11.15699959,2011
SYPR US Equity,11.15699959,2010
SYPR US Equity,9.91740036,2015
SYPR US Equity,20.66119957,2017
SYPR US Equity,22.31399918,2020
LBSR US Equity,9.090900421,2010
LBSR US Equity,10.74380016,2017
LBSR US Equity,11.57019997,2020
PTN US Equity,14.8760004,2015
UTI US Equity,16.11569977,2010
UTI US Equity,15.28929996,2011
UTI US Equity,16.52890015,2012
UTI US Equity,17.35540009,2018
UTI US Equity,18.59499931,2019
CIDM US Equity,11.15699959,2010
CIDM US Equity,11.98349953,2012
CIDM US Equity,14.46280003,2017
CIDM US Equity,13.22309971,2020
OXSQ US Equity,11.84210014,2010
OXSQ US Equity,14.47369957,2017
PVCT US Equity,10.33059978,2010
PVCT US Equity,11.98349953,2012
PVCT US Equity,15.28929996,2017
DAKT US Equity,10.33059978,2010
DAKT US Equity,11.15699959,2013
DAKT US Equity,17.35540009,2017
