,HIGHESG,LOWESG,,,,,,,,
7/2/2010,0.028022601,0.016347021,,1.028022601,1.016347021,,1.028022601,1.016347021,,FALSE
7/6/2010,-0.013793121,0.054412104,,0.986206879,1.054412104,,1.013842961,1.0716486,,FALSE
7/7/2010,-0.010318015,0.07103451,,0.989681985,1.07103451,,1.003382114,1.147772634,,FALSE
7/8/2010,0.002657082,-0.010919388,,1.002657082,0.989080612,,1.006048183,1.135239658,,FALSE
7/9/2010,0.002706322,0.00280157,,1.002706322,1.00280157,,1.008770873,1.138420112,,FALSE
7/12/2010,0.006150171,-0.006081454,,1.006150171,0.993918546,,1.014974986,1.131496862,,FALSE
7/13/2010,-0.007497587,-0.010448682,,0.992502413,0.989551318,,1.007365124,1.119674211,,FALSE
7/14/2010,-0.004935417,0.010377585,,0.995064583,1.010377585,,1.002393356,1.131293726,,FALSE
7/15/2010,-0.005131684,-0.009802968,,0.994868316,0.990197032,,0.997249391,1.12020369,,FALSE
7/16/2010,-0.005818384,0.01239882,,0.994181616,1.01239882,,0.991447011,1.134092893,,FALSE
7/19/2010,0.001108462,0.001342069,,1.001108462,1.001342069,,0.992545992,1.135614925,,FALSE
7/20/2010,-0.010996066,-0.005888872,,0.989003934,0.994111128,,0.981631891,1.128927434,,FALSE
7/21/2010,-0.007278795,0.002179081,,0.992721205,1.002179081,,0.974486794,1.131387458,,FALSE
7/22/2010,-0.006580973,0.002067921,,0.993419027,1.002067921,,0.968073722,1.133727078,,FALSE
7/23/2010,-0.002286752,-0.054811773,,0.997713248,0.945188227,,0.965859978,1.071585486,,FALSE
7/26/2010,-0.009760109,0.025511699,,0.990239891,1.025511699,,0.956433079,1.098923453,,FALSE
7/27/2010,-0.011137372,0.003869782,,0.988862628,1.003869782,,0.945780928,1.103176048,,FALSE
7/28/2010,-0.00018791,-0.003671337,,0.99981209,0.996328663,,0.945603207,1.099125917,,FALSE
7/29/2010,0.009307425,-0.008557893,,1.009307425,0.991442107,,0.954404337,1.089719715,,FALSE
7/30/2010,0.008276213,0.105255815,,1.008276213,1.105255815,,0.962303191,1.204419052,,FALSE
8/2/2010,-0.005439951,-0.020284524,,0.994560049,0.979715476,,0.957068309,1.179987986,,FALSE
8/3/2010,-0.035843168,-0.013281672,,0.964156832,0.986718328,,0.922763949,1.164315773,,FALSE
8/4/2010,0.00254116,-0.008613007,,1.00254116,0.991386993,,0.92510884,1.154287513,,FALSE
8/5/2010,0.012959997,0.004990302,,1.012959997,1.004990302,,0.937098247,1.160047756,,FALSE
8/6/2010,-0.010443138,0.04629648,,0.989556862,1.04629648,,0.927312001,1.213753885,,FALSE
8/9/2010,-0.00343253,-0.068282397,,0.99656747,0.931717603,,0.924128975,1.13087586,,FALSE
8/10/2010,0.01219101,-0.035463991,,1.01219101,0.964536009,,0.935395041,1.090770489,,FALSE
8/11/2010,-0.001950167,-0.025073717,,0.998049833,0.974926283,,0.933570865,1.063420818,,FALSE
8/12/2010,0.011317038,0.212406028,,1.011317038,1.212406028,,0.944136122,1.28929781,,TRUE
8/13/2010,-0.007679744,-0.006239435,,0.992320256,0.993760565,,0.936885398,1.28125332,,FALSE
8/16/2010,0.004072641,-0.022265574,,1.004072641,0.977734426,,0.940700996,1.252725479,,FALSE
8/17/2010,-0.004500749,0.113793089,,0.995499251,1.113793089,,0.936467137,1.395276981,,FALSE
8/18/2010,0.014749378,0.171273333,,1.014749378,1.171273333,,0.950279444,1.634250719,,TRUE
8/19/2010,0.002288213,-0.037176377,,1.002288213,0.962823623,,0.952453886,1.573495199,,FALSE
8/20/2010,0.008186392,0.260633349,,1.008186392,1.260633349,,0.960251046,1.983600523,,TRUE
8/23/2010,-0.0017034,-0.016184966,,0.9982966,0.983815034,,0.958615355,1.951496016,,FALSE
8/24/2010,0.005076929,-0.015985232,,1.005076929,0.984014768,,0.963482177,1.9203009,,FALSE
8/25/2010,-0.013870232,-0.021637914,,0.986129768,0.978362086,,0.950118456,1.878749594,,FALSE
8/26/2010,-0.009542366,0.011197323,,0.990457634,1.011197323,,0.941052078,1.899786559,,FALSE
8/27/2010,-0.014712178,-0.010805985,,0.985287822,0.989194015,,0.927207152,1.879257494,,FALSE
8/30/2010,-0.004346043,-0.002500859,,0.995653957,0.997499141,,0.92317747,1.874557736,,FALSE
8/31/2010,0.018817393,-0.032208229,,1.018817393,0.967791771,,0.940549263,1.814181551,,FALSE
9/1/2010,0.003123857,-0.031052962,,1.003123857,0.968947038,,0.943487405,1.757845841,,FALSE
9/2/2010,-0.005638678,0.017029046,,0.994361322,1.017029046,,0.938167383,1.787780278,,FALSE
9/3/2010,0.009994253,-0.03379843,,1.009994253,0.96620157,,0.947543665,1.727356111,,FALSE
9/7/2010,-0.0013152,-0.002356863,,0.9986848,0.997643137,,0.946297456,1.723284969,,FALSE
9/8/2010,0.005553925,0.015258258,,1.005553925,1.015258258,,0.951553121,1.749579296,,FALSE
9/9/2010,-0.007894964,-0.003118212,,0.992105036,0.996881788,,0.944040644,1.744123736,,FALSE
9/10/2010,0.002635991,0.036758192,,1.002635991,1.036758192,,0.946529127,1.808234571,,FALSE
9/13/2010,-0.001579663,0.017819787,,0.998420337,1.017819787,,0.94503393,1.840456926,,FALSE
9/14/2010,-0.003856469,-0.012152826,,0.996143531,0.987847174,,0.941389436,1.818090173,,FALSE
9/15/2010,0.000399168,-0.0078738,,1.000399168,0.9921262,,0.941765208,1.803774895,,FALSE
9/16/2010,0.015646984,-0.022076027,,1.015646984,0.977923973,,0.956500993,1.763954711,,FALSE
9/17/2010,0.005986236,0.013467854,,1.005986236,1.013467854,,0.962226834,1.787711395,,FALSE
9/20/2010,-0.013352588,0.004394891,,0.986647412,1.004394891,,0.949378616,1.795568192,,FALSE
9/21/2010,-0.007023717,-0.015749601,,0.992976283,0.984250399,,0.942710449,1.767288709,,FALSE
9/22/2010,0.005775409,0.005070975,,1.005775409,1.005070975,,0.948154987,1.776250586,,FALSE
9/23/2010,-0.005335535,0.001344296,,0.994664465,1.001344296,,0.943096073,1.778638393,,FALSE
9/24/2010,-0.00135298,-0.029460452,,0.99864702,0.970539548,,0.941820083,1.726238903,,FALSE
9/27/2010,0.039689088,-0.030460905,,1.039689088,0.969539095,,0.979200063,1.673656104,,FALSE
9/28/2010,-0.013814526,-0.006799588,,0.986185474,0.993200412,,0.965672878,1.662275931,,FALSE
9/29/2010,-0.009354405,-0.002005141,,0.990645595,0.997994859,,0.956639583,1.658942834,,FALSE
