,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,MHTX US Equity,VOLT US Equity,SGBI US Equity,IDEX US Equity,AFMD US Equity,BNED US Equity,FTI US Equity,MOST US Equity,NBSE US Equity,VRUS US Equity,SDRLF US Equity
1,NMGX US Equity,FMCC US Equity,MBII US Equity,RCMT US Equity,SENS US Equity,NH US Equity,NBEV US Equity,MESA US Equity,CRTX US Equity,SDRLF US Equity,MCHX US Equity
2,NAT US Equity,MLCT US Equity,AVDL US Equity,ARAV US Equity,ALTO US Equity,HGEN US Equity,WINSF US Equity,LQDA US Equity,FREQ US Equity,CTLP US Equity,CBAT US Equity
3,CRBO US Equity,NVFY US Equity,ANTE US Equity,CGEN US Equity,ACFN US Equity,VBIV US Equity,NAT US Equity,FCCN US Equity,HOOK US Equity,GWGH US Equity,REFR US Equity
4,VYEY US Equity,RBSH US Equity,ESPR US Equity,KBLB US Equity,NMGX US Equity,NBEV US Equity,QMCO US Equity,SGBI US Equity,CNF US Equity,OCUP US Equity,LBSR US Equity
5,TXMD US Equity,SHMP US Equity,EPZM US Equity,ANTE US Equity,ESGC US Equity,IMGN US Equity,LQMT US Equity,AVRO US Equity,ACTG US Equity,APLT US Equity,ELTP US Equity
6,MEEC US Equity,XSPA US Equity,HSTO US Equity,DHT US Equity,SHMP US Equity,SGBI US Equity,PRPL US Equity,PRPL US Equity,ELTP US Equity,BNET US Equity,ASC US Equity
7,CGEN US Equity,CRVW US Equity,NNVC US Equity,ASC US Equity,ROYL US Equity,AQMS US Equity,RDI US Equity,CRVW US Equity,DSX US Equity,HMTV US Equity,YMTX US Equity
8,NBSE US Equity,VSTM US Equity,CHGI US Equity,APWC US Equity,KBLB US Equity,CRVS US Equity,RMNI US Equity,FLMN US Equity,SDRLF US Equity,DS US Equity,ACUR US Equity
9,SITOQ US Equity,VXRT US Equity,NVFY US Equity,NETI US Equity,VTGDF US Equity,GSM US Equity,BYSI US Equity,TAOP US Equity,CPMV US Equity,NMGX US Equity,ESOA US Equity
10,FCCN US Equity,VYEY US Equity,RBSH US Equity,CNCE US Equity,TPHS US Equity,SIOX US Equity,MOST US Equity,BYSI US Equity,AFHIF US Equity,SONM US Equity,LMNL US Equity
11,SRNE US Equity,ZYXI US Equity,PGEN US Equity,AGTC US Equity,OTIC US Equity,ROYL US Equity,ORGO US Equity,USWS US Equity,BSPK US Equity,BBI US Equity,CIDM US Equity
12,FRO US Equity,NMGX US Equity,CMRX US Equity,DFFN US Equity,GEVO US Equity,CHGI US Equity,NETI US Equity,BSPK US Equity,ORGO US Equity,IDEX US Equity,IDRA US Equity
